"part","term","statistic","(1) Density","(2) + De-risking","(3) + Product FE","(4) Logit"
"estimates","density","estimate","4.154***","4.059***","4.108***","45.527***"
"estimates","density","std.error","(0.105)","(0.119)","(0.135)","(1.591)"
"estimates","density_x_pci","estimate","0.100***","0.057***","","1.313***"
"estimates","density_x_pci","std.error","(0.012)","(0.014)","","(0.212)"
"estimates","pf_country","estimate","","-0.450***","-0.390***","-3.198**"
"estimates","pf_country","std.error","","(0.104)","(0.106)","(1.404)"
"estimates","density_x_pf","estimate","","1.498***","1.232***","9.589***"
"estimates","density_x_pf","std.error","","(0.372)","(0.370)","(3.542)"
"estimates","pf_x_pci","estimate","","0.152***","","-0.400"
"estimates","pf_x_pci","std.error","","(0.024)","","(0.381)"
"gof","Num.Obs.","","212440","212440","212440","212440"
"gof","R2","","0.445","0.446","0.451","0.518"
"gof","R2 Adj.","","0.444","0.446","0.450","0.516"
"gof","R2 Within","","0.389","0.391","0.363","0.467"
"gof","R2 Within Adj.","","0.389","0.391","0.363","0.467"
"gof","AIC","","81965.2","81403.2","80006.9","100478.5"
"gof","BIC","","84398.3","83867.1","83405.1","102942.4"
"gof","RMSE","","0.29","0.29","0.29","0.27"
"gof","FE: iso3","","X","X","X","X"
"gof","FE: year","","X","X","X","X"
"gof","FE: hs4","","","","X",""
