year,test,coef,se,pvalue,n_obs,converged,verdict
2018,E0: Baseline,-0.280560012022086,0.04769308574908428,4.038370970960159e-09,2072324.0,True,
2018,E1: Lag-1,-0.3081945658898813,0.05264223783329443,4.7841524075664665e-09,2072324.0,True,
2018,E3: Lead (F1),-0.24875135999477496,0.038245301385363174,7.81585907105864e-11,2072324.0,True,CONCERN
2018,E4: Threshold 25%,-0.369036598203871,0.0628062125695753,4.208120296667062e-09,2072324.0,True,
2018,E5: Threshold 75%,-0.180756766716045,0.03846572041910064,2.612273541036103e-06,2072324.0,True,
2018,E6: Placebo,-0.10573246133972618,0.0426436648125101,0.013158840804914584,2072324.0,True,CONCERN
2019,E0: Baseline,-0.22236956963743945,0.03654642973949793,1.167991925399292e-09,2079092.0,True,
2019,E1: Lag-1,-0.24337170900810481,0.0422617001215361,8.477302859688507e-09,2079092.0,True,
2019,E3: Lead (F1),-0.3425199609164458,0.04998822794826772,7.281730773911477e-12,2079092.0,True,CONCERN
2019,E4: Threshold 25%,-0.2970570290632579,0.045332969351082684,5.647526890584231e-11,2079092.0,True,
2019,E5: Threshold 75%,-0.19152433203947933,0.0349403744103334,4.2182551007741154e-08,2079092.0,True,
2019,E6: Placebo,-0.14025640098239764,0.05226695090677893,0.007286415363404464,2079092.0,True,CONCERN
2020,E0: Baseline,-0.3463075201636128,0.04818593392645193,6.628031457012185e-13,2053524.0,True,
2020,E1: Lag-1,-0.19725668409741678,0.03445130866232833,1.030287899439486e-08,2053524.0,True,
2020,E3: Lead (F1),-0.2488710605906721,0.03205082312378147,8.215650382226158e-15,2053524.0,True,CONCERN
2020,E4: Threshold 25%,-0.35100967204457884,0.06869846820988153,3.231407035286793e-07,2053524.0,True,
2020,E5: Threshold 75%,-0.24568412446954968,0.03635365584610331,1.3974821300166695e-11,2053524.0,True,
2020,E6: Placebo,0.10049606138830496,0.04713372774196431,0.032994719972363695,2053524.0,True,CONCERN
2021,E0: Baseline,-0.25987160694465766,0.03283619995957575,2.4424906541753444e-15,2038484.0,True,
2021,E1: Lag-1,-0.35621283886747895,0.05014279096497832,1.212141498285746e-12,2038484.0,True,
2021,E3: Lead (F1),-0.32583974880899425,0.040553719590199135,8.881784197001252e-16,2038484.0,True,CONCERN
2021,E4: Threshold 25%,-0.3059596477370702,0.04440411238243354,5.565770067050835e-12,2038484.0,True,
2021,E5: Threshold 75%,-0.26146352735564343,0.03841889813961771,1.0063061495202419e-11,2038484.0,True,
2021,E6: Placebo,-0.022610078316784174,0.045894743342145834,0.622259404125407,2038484.0,True,PASS
2022,E0: Baseline,-0.3208418050169068,0.04283535389071007,6.88338275267597e-14,2070914.0,True,
2022,E1: Lag-1,-0.27755053035510696,0.039078489137798225,1.2261303083960229e-12,2070914.0,True,
2022,E3: Lead (F1),-0.42280458654207187,0.04380762365490182,0.0,2070914.0,True,CONCERN
2022,E4: Threshold 25%,-0.34851917319014863,0.05863838045259944,2.789428688032558e-09,2070914.0,True,
2022,E5: Threshold 75%,-0.31406434019609786,0.041998785028923145,7.549516567451064e-14,2070914.0,True,
2022,E6: Placebo,-0.033388308208634206,0.0404899732774245,0.4095948467622277,2070914.0,True,PASS
2023,E0: Baseline,-0.3834225691526174,0.041609267703484984,0.0,2015924.0,True,
2023,E1: Lag-1,-0.29856292731874384,0.039838303753952135,6.661338147750939e-14,2015924.0,True,
2023,E3: Lead (F1),,,,,False,
2023,E4: Threshold 25%,-0.37698657981223227,0.05432021994590731,3.9188652323218776e-12,2015924.0,True,
2023,E5: Threshold 75%,-0.33432864351271635,0.04488696254151892,9.459100169806334e-14,2015924.0,True,
2023,E6: Placebo,0.008888894764057907,0.052038938505092,0.8643712969478725,2015924.0,True,PASS
