rank,iso3,sos_composite,sos_fatf,sos_fdi,sos_amld,n_derisked,trade_at_risk_usd,rank_composite_lo,rank_composite_hi,rank_range
1,HTI,10.825790180309125,3.303411354393012,7.639907093319769,0.11752826740365581,5,853633.2490000001,1,1,0
2,FJI,9.25982997018596,0.06194977152118696,9.6002793917398,0.40239919307502664,12,627732.0210000001,87,4,83
3,SYR,8.09774285913339,6.668164030669549,2.113818422450933,0.6842395939870918,13,143990.021,38,5,33
4,LBN,7.35802335229227,3.091940913898573,5.457321383549313,1.191238945155615,24,1254995.504,154,8,146
5,NIC,7.312427539581983,0.08393246404297278,7.442974357082367,0.21447928154335633,5,4760913.433,48,14,34
6,SEN,7.277333883804188,5.101253044008342,2.6693429288778354,0.49326208908198926,18,1113598.816,19,10,9
7,JOR,7.248172624966953,6.89644677206013,0.7333976933152386,0.3816718404084153,11,559970.795,2,9,7
8,TUR,6.738231112666046,8.299798113465801,1.2241718865768942,2.785738887376649,23,13939543.838,186,3,183
9,MDG,6.686682420238049,0.6634228976417609,7.294938788567632,1.2716792659713443,19,2180991.407,165,11,154
10,BRB,6.487107703065238,6.879276592278379,0.1980488844652308,0.5902177736783719,10,4540.997,13,12,1
11,TZA,6.433864265437584,4.961872099779611,1.8385158516659073,0.3665236860079344,37,1566897.798,7,15,8
12,VNM,6.21815046908035,6.274732773921219,0.6533398946964056,0.7099221995372746,7,14687660.701000001,56,13,43
13,NGA,6.145495433497843,2.46529817781881,4.578902330433376,0.8987050747543426,71,39311939.242000006,135,16,119
14,UGA,5.444231342722164,5.698508412884938,0.30781028972296937,0.5620873598857434,17,145410.527,37,17,20
15,PHL,5.066142041360099,4.309938926951793,1.087037501469444,0.33083438706113855,48,8515288.211,10,19,9
16,AFG,4.886305472330171,0.2016076010994009,4.75635812547233,0.07166025424156097,8,719903.072,20,26,6
17,GRD,4.871377605820151,0.2528407531483701,5.293891379012543,0.6753545263407611,4,18880.542999999998,129,21,108
18,JAM,4.780459188844198,4.3331795521750935,0.9184108098194755,0.47113117315037134,8,149403.008,42,20,22
19,ZAF,4.709540948226919,5.299624142555171,0.0,0.5900831943282516,0,0.0,51,18,33
20,YEM,4.662684338886745,4.234687872117292,0.563342708813645,0.13534624204419277,7,51619.501000000004,3,24,21
