iso3,sos_total,sos_intensive_total,sos_extensive_total,n_products_intensive,n_products_extensive,trade_at_risk,frac_derisked,n_derisked,rank_total,sos_lo,sos_hi,rank_lo,rank_hi,rank_range
AUS,0.141770714426904,-0.203009090206861,0.486550519060669,45,44,4512120.543,0.105990783410138,23,20,-1120193.02507759,-402870.998691881,196,196,0
BGR,0.368822157434334,-0.00716818326916676,0.744812498137834,44,27,651656.775,0.108108108108108,24,11,-39553.6421172883,-14225.2406013593,135,135,0
CAN,1.34584142406301,-0.0373253357056967,2.72900818383172,45,39,3943250.464,0.193181818181818,34,2,-205959.15519643,-74072.0292718971,159,159,0
EGY,0.701518176666849,-0.219554781971407,1.62259113530511,44,28,5090533.091,0.16304347826087,15,6,-1211491.24473289,-435705.879920297,198,198,0
FIN,0.18792514557106,0.13046567377026,0.24538461737186,45,32,2741708.931,0.136054421768708,20,18,719902.432056486,258908.782031759,19,19,0
IDN,0.659539779489022,-0.354838335115353,1.6739178940934,45,33,23934507.282,0.21304347826087,49,8,-1957978.47092134,-704175.730734126,204,204,0
IND,0.795484516551758,-0.00194455088283951,1.59291358398636,45,28,15022677.062,0.169565217391304,39,4,-10729.9251163851,-3858.9560466408,121,121,0
KEN,1.1811028326466,-0.0669877632908346,2.42919342858403,44,37,1171651.91,0.162790697674419,14,3,-369634.80368036,-132937.037792812,168,168,0
KOR,0.282521481659109,0.481353024118966,0.0836899391992512,45,33,9230179.773,0.160869565217391,37,16,2656079.58573989,955243.794022042,6,6,0
LAO,0.308848565902173,-0.00666407870630369,0.624361210510649,31,42,280590.231,0.0897435897435897,7,13,-36772.0207886395,-13224.8464393105,133,133,0
LBN,0.174158345074125,0.004184858904665,0.344131831243584,45,33,1070077.761,0.11304347826087,26,19,23091.8219039492,8304.84134769062,37,37,0
MDG,0.715029012463799,-0.125618414165205,1.5556764390928,44,41,2049137.446,0.174311926605505,19,5,-693155.519419273,-249289.408258804,181,181,0
MMR,0.521519747522089,-0.189301478337624,1.2323409733818,45,41,5322889.222,0.145833333333333,14,10,-1044555.17462102,-375668.279454959,194,194,0
PAK,0.288222217889871,-0.141505723997137,0.717950159776879,45,38,5629096.25,0.203125,26,15,-780820.823681468,-280817.732295898,185,185,0
PAN,0.197478616563077,-0.0139051266559465,0.408862359782101,45,34,626157.537,0.160714285714286,36,17,-76727.7262162978,-27594.6868049603,146,146,0
PHL,0.539248721044064,0.341500937502401,0.736996504585726,45,40,8119471.952,0.217391304347826,50,9,1884383.44242537,677707.70070254,8,8,0
SEN,0.308190902985615,-0.0904395228571586,0.706821328828388,43,39,1201349.997,0.181818181818182,18,14,-499040.326680458,-179476.992175838,174,174,0
TZA,1.42431917718784,-0.165729614690379,3.01436796906605,44,42,1496857.999,0.285714285714286,38,1,-914486.923889897,-328889.978843308,190,190,0
UKR,0.359183115921752,-0.0673017961060158,0.785668027949519,45,37,1763794.947,0.170542635658915,22,12,-371367.619530394,-133560.235077945,169,169,0
VNM,0.677973985251022,1.52831806231485,-0.172370091812809,45,34,18716994.912,0.0760869565217391,7,7,8433175.24235344,3032943.12316866,2,2,0
