label,coef,se,pvalue,n_obs,converged
R0: Baseline (pair FE),-0.3915970975776976,0.0844836015168841,3.566189062276237e-06,2331200,True
R1: PCI MoR (pair FE),-0.3767390641253926,0.0817115858048771,4.015172685667423e-06,2331200,True
R2: Excl. entrepots (pair FE),-0.39197980253902637,0.09791381237308651,6.246113200147896e-05,2088680,True
R3: Excl. China (pair FE),-0.389710635054858,0.09393699052369343,3.344581708586425e-05,2293130,True
R4: Excl. commodities (pair FE),-0.35732708549267594,0.11294304518768611,0.0015573381440889822,1657044,True
R5: Pre-COVID (pair FE),-0.2336956180056893,0.08764462637790486,0.007666844738855705,1292406,True
R6: Post-COVID (pair FE),-0.4932874157007912,0.0944836024635113,1.7807627772370438e-07,764032,True
R7: OLS (pair FE),-0.012076524587810982,0.011345129929418602,0.2872025660625708,2337874,True
R8: 25% threshold (pair FE),-0.44070046358447457,0.09263374237302797,1.9605310515036223e-06,2331200,True
R9: 75% threshold (pair FE),-0.3625126763080664,0.08322068199296201,1.3243617275948694e-05,2331200,True
R10: No pair FE (XS),-0.39199565678708836,0.08448923725734944,3.490963506269651e-06,2285892,True
