label,coef,se,pvalue,ci_lo,ci_hi,n_obs,converged,interaction_name,estimator,treat_var,time_s,error,formula
R0: Baseline,-0.30843041804497057,0.09935034104543632,0.0019061854052579985,-0.5031570864940258,-0.1137037495959154,1689462,True,derisked:pci_std,fepois,derisked,78.404776096344,,trade_value ~ derisked + derisked:pci_std | exporter_year + importer_year + pair + hs4
R1: Lag-1 derisked,-0.270625459153156,0.09871544001689357,0.006116486710803448,-0.4641077215862674,-0.0771431967200446,1689462,True,derisked_L1:pci_std,fepois,derisked_L1,57.56074666976929,,trade_value ~ derisked_L1 + derisked_L1:pci_std | exporter_year + importer_year + pair + hs4
R2: Lag-2 derisked,-0.2676598950376983,0.09652164215087132,0.005553260563460727,-0.4568423136534061,-0.07847747642199054,1689462,True,derisked_L2:pci_std,fepois,derisked_L2,58.667625427246094,,trade_value ~ derisked_L2 + derisked_L2:pci_std | exporter_year + importer_year + pair + hs4
R3: RPW friction only,0.08945751064580883,0.04091238128180586,0.02877442035475042,0.009269243333469346,0.1696457779581483,22842,True,pf_rpw:pci_std,fepois,pf_rpw,2.0793087482452393,,trade_value ~ pf_rpw + pf_rpw:pci_std | exporter_year + importer_year + pair + hs4
R5: Excl. entrepots,-0.3414079373703683,0.1132980581989447,0.0025837146498997043,-0.5634721314403,-0.11934374330043668,1507948,True,derisked:pci_std,fepois,derisked,65.9510657787323,,trade_value ~ derisked + derisked:pci_std | exporter_year + importer_year + pair + hs4
R6: Excl. China,-0.16038120344658408,0.06565019052797728,0.014567097225169467,-0.2890555768814196,-0.031706830011748594,1662954,True,derisked:pci_std,fepois,derisked,36.90528082847595,,trade_value ~ derisked + derisked:pci_std | exporter_year + importer_year + pair + hs4
R7: Excl. commodities (HS01-27),-0.2691856327965003,0.1020789246705749,0.008363435723832913,-0.46926032515082716,-0.0691109404421735,1195615,True,derisked:pci_std,fepois,derisked,52.70736050605774,,trade_value ~ derisked + derisked:pci_std | exporter_year + importer_year + pair + hs4
R8: Pre-COVID (year <= 2019),-0.18070942597266945,0.10695309279258486,0.09110185612446564,-0.39033748784613576,0.02891863590079688,550652,True,derisked:pci_std,fepois,derisked,19.547765254974365,,trade_value ~ derisked + derisked:pci_std | exporter_year + importer_year + pair + hs4
R9: No pair FEs,-0.3084304180453151,0.04760872170140927,9.267364653453569e-11,-0.4017435125800773,-0.21511732351055296,1691154,True,derisked:pci_std,fepois,derisked,42.72673201560974,,trade_value ~ derisked + derisked:pci_std | exporter_year + importer_year + hs4
R10: OLS log(1+trade),-0.006572530410296469,0.013677793194847762,0.6308887212597472,-0.03338100507219808,0.020235944251605145,1692000,True,derisked:pci_std,feols,derisked,10.649365425109863,,ln_trade ~ derisked + derisked:pci_std | exporter_year + importer_year + pair + hs4
