coef,se,pvalue,n_obs,converged,year,label
-0.2805600120220973,0.047693085230659696,4.0383694166479245e-09,2072324,True,2018,R0: Baseline
-0.26936616322382617,0.0467964370716564,8.606642731834313e-09,2072324,True,2018,R1: PCI (MoR)
-0.2925495102625062,0.05576487793873571,1.5533168595815994e-07,1882820,True,2018,R2: Excl. entrepots
-0.2746812703575089,0.04922380586017185,2.4016954425221115e-08,2035100,True,2018,R3: Excl. China
-0.2260894125081584,0.05838180107908153,0.000107680096238294,1477082,True,2018,R4: Excl. commodities
0.03884184906444704,0.005071743731501447,1.887379141862766e-14,2072324,True,2018,R7: OLS log(1+trade)
-0.3690365982038703,0.06280621215894555,4.208119186444037e-09,2072324,True,2018,R8: Threshold 25%
-0.18075676671605348,0.038465720806435184,2.612274146329696e-06,2072324,True,2018,R9: Threshold 75%
-0.2805600120220973,0.047693085230659696,4.0383694166479245e-09,2072324,True,2018,R5: Pre-COVID
-0.22236956963741789,0.03654642733010305,1.1679888167748231e-09,2079092,True,2019,R0: Baseline
-0.21334207672241026,0.035899177630804795,2.8017308473238245e-09,2079092,True,2019,R1: PCI (MoR)
-0.23279213168838095,0.042361261847952206,3.8982301386880636e-08,1885170,True,2019,R2: Excl. entrepots
-0.23006593291111652,0.03662634349569901,3.35465877299157e-10,2041868,True,2019,R3: Excl. China
-0.162472055463223,0.04258208766320623,0.00013590616364123065,1481906,True,2019,R4: Excl. commodities
0.01331860784788429,0.00476649089713248,0.005202610016439735,2079092,True,2019,R7: OLS log(1+trade)
-0.2970570290633511,0.0453329687704365,5.647526890584231e-11,2079092,True,2019,R8: Threshold 25%
-0.1915243320394835,0.03494037515953782,4.2182578985361374e-08,2079092,True,2019,R9: Threshold 75%
-0.22236956963741789,0.03654642733010305,1.1679888167748231e-09,2079092,True,2019,R5: Pre-COVID
-0.3463075201636137,0.048185933707097235,6.628031457012185e-13,2053524,True,2020,R0: Baseline
-0.3358519819692323,0.047201796938001424,1.1171064073778325e-12,2053524,True,2020,R1: PCI (MoR)
-0.34337587383372,0.05599660038635778,8.673513018919721e-10,1862046,True,2020,R2: Excl. entrepots
-0.3318271112696884,0.04795802737261715,4.544808973605541e-12,2016300,True,2020,R3: Excl. China
-0.354078686021147,0.07357615617553719,1.4912046213400032e-06,1463682,True,2020,R4: Excl. commodities
0.0030529778288733937,0.004554364634778075,0.502640443796329,2053524,True,2020,R7: OLS log(1+trade)
-0.3510096720445962,0.06869846874127042,3.231407710302392e-07,2053524,True,2020,R8: Threshold 25%
-0.2456841244695416,0.036353655770859375,1.3974821300166695e-11,2053524,True,2020,R9: Threshold 75%
-0.2598716069446998,0.03283619861708952,2.4424906541753444e-15,2038484,True,2021,R0: Baseline
-0.24967306939802442,0.032191330442292505,8.881784197001252e-15,2038484,True,2021,R1: PCI (MoR)
-0.256912378357991,0.035379996956944104,3.82804898890754e-13,1849450,True,2021,R2: Excl. entrepots
-0.23964876159633028,0.03206422692082176,7.771561172376096e-14,2001260,True,2021,R3: Excl. China
-0.26393560258382054,0.03860755021845696,8.122391648157645e-12,1452962,True,2021,R4: Excl. commodities
0.010463343676792925,0.004524248918926863,0.020737861527977186,2038484,True,2021,R7: OLS log(1+trade)
-0.3059596477371916,0.04440411173067045,5.565770067050835e-12,2038484,True,2021,R8: Threshold 25%
-0.2614635273556327,0.03841889721055324,1.0063061495202419e-11,2038484,True,2021,R9: Threshold 75%
-0.2598716069446998,0.03283619861708952,2.4424906541753444e-15,2038484,True,2021,R6: Post-COVID
-0.3208418050168365,0.04283535289419285,6.88338275267597e-14,2070914,True,2022,R0: Baseline
-0.30472569333973293,0.041826922518001644,3.206324095117452e-13,2070914,True,2022,R1: PCI (MoR)
-0.3168975026804918,0.04878068500232406,8.227973857799498e-11,1879906,True,2022,R2: Excl. entrepots
-0.28157514401368305,0.03847610536107371,2.5135449277513544e-13,2033690,True,2022,R3: Excl. China
-0.4080183995720885,0.056114984076584475,3.566036355096003e-13,1476077,True,2022,R4: Excl. commodities
0.018948397086672945,0.004581735957507818,3.5398518330120865e-05,2070914,True,2022,R7: OLS log(1+trade)
-0.3485191731901519,0.05863838046802269,2.789428688032558e-09,2070914,True,2022,R8: Threshold 25%
-0.3140643401960785,0.04199878477184644,7.549516567451064e-14,2070914,True,2022,R9: Threshold 75%
-0.3208418050168365,0.04283535289419285,6.88338275267597e-14,2070914,True,2022,R6: Post-COVID
-0.38342256915258294,0.04160926681545533,0.0,2015924,True,2023,R0: Baseline
-0.3677060442684222,0.04016012381561128,0.0,2015924,True,2023,R1: PCI (MoR)
-0.37536996523409577,0.04705803978146585,1.5543122344752192e-15,1828676,True,2023,R2: Excl. entrepots
-0.37699405639867356,0.04066732160218521,0.0,1978700,True,2023,R3: Excl. China
-0.43240853707141824,0.07761731341231565,2.5323479979633134e-08,1436882,True,2023,R4: Excl. commodities
-0.005922261545850243,0.004577056191491865,0.19569946825029327,2015924,True,2023,R7: OLS log(1+trade)
-0.3769865798122369,0.05432021978424928,3.9188652323218776e-12,2015924,True,2023,R8: Threshold 25%
-0.3343286435127159,0.04488696295308385,9.459100169806334e-14,2015924,True,2023,R9: Threshold 75%
-0.38342256915258294,0.04160926681545533,0.0,2015924,True,2023,R6: Post-COVID
