iso3,sos_total,rank_total,quadrant
TZA,1.42431917718784,1,Q4: Blocked
CAN,1.34584142406301,2,Q1: Actionable
KEN,1.1811028326466,3,Q1: Actionable
IND,0.795484516551758,4,Q4: Blocked
MDG,0.715029012463799,5,Q4: Blocked
EGY,0.701518176666849,6,Q4: Blocked
VNM,0.677973985251022,7,Q4: Blocked
IDN,0.659539779489022,8,Q4: Blocked
PHL,0.539248721044064,9,Q1: Actionable
MMR,0.521519747522089,10,Q4: Blocked
BGR,0.368822157434334,11,Q1: Actionable
UKR,0.359183115921752,12,Q4: Blocked
LAO,0.308848565902173,13,Q4: Blocked
SEN,0.308190902985615,14,Q4: Blocked
PAK,0.288222217889871,15,Q3: Legal Complexity
KOR,0.282521481659109,16,Q4: Blocked
PAN,0.197478616563077,17,Q2: Infrastructure Gap
FIN,0.18792514557106,18,Q2: Infrastructure Gap
LBN,0.174158345074125,19,Q2: Infrastructure Gap
AUS,0.141770714426904,20,Q1: Actionable
TGO,0.128304382404818,21,Q4: Blocked
UGA,0.126927107642323,22,Q1: Actionable
HUN,0.126669000502187,23,Q2: Infrastructure Gap
SYR,0.111598009026889,24,Q4: Blocked
THA,0.111334600670954,25,Q4: Blocked
CHN,0.106358745532494,26,Q4: Blocked
GIB,0.100512303060852,27,Q4: Blocked
AND,0.0856996277181782,28,Q4: Blocked
MYS,0.0818871751478054,29,Q3: Legal Complexity
ISR,0.05669166469378,30,Q1: Actionable
LKA,0.0515701857832117,31,Q4: Blocked
UZB,0.0383101091337076,32,Q4: Blocked
NPL,0.0376344860076272,33,Q4: Blocked
CYM,0.0362104365007444,34,Q4: Blocked
ARG,0.0333455946968874,35,Q4: Blocked
ATF,0.0330352697973217,36,Q4: Blocked
ASM,0.0297031106703021,37,Q4: Blocked
MEX,0.0284424688374819,38,Q2: Infrastructure Gap
GTM,0.0267527030115435,39,Q2: Infrastructure Gap
TUN,0.0253453977995548,40,Q4: Blocked
AIA,0.0226831725738262,41,Q4: Blocked
LTU,0.0220976766246748,42,Q1: Actionable
MLT,0.0184470088337144,43,Q2: Infrastructure Gap
SVN,0.0162708227309272,44,Q1: Actionable
ALB,0.0153018872011615,45,Q4: Blocked
NIU,0.0125487236461466,46,Q4: Blocked
HKG,0.008449524823129,47,Q3: Legal Complexity
SWE,0.00792655001717153,48,Q1: Actionable
IRL,0.00213727455121797,49,Q1: Actionable
IRN,0.000462833406267565,50,Q4: Blocked
BLM,0,58,Q4: Blocked
CAF,0,58,Q4: Blocked
