iso3,sos_total,rank_total,kaopen_norm,onramp_norm
CAN,1.34584142406301,2,1,6.66972772065214
KEN,1.1811028326466,3,0.70170580310101,19.4444444444444
PHL,0.539248721044064,9,0.446004796100597,3.5391506746211
BGR,0.368822157434334,11,0.446004796100597,3.27642188518762
AUS,0.141770714426904,20,1,4.75884065124055
UGA,0.126927107642323,22,0.744298990351403,55.3764367108858
ISR,0.05669166469378,30,1,3.02898129301153
LTU,0.0220976766246748,42,1,4.46912893325244
SVN,0.0162708227309272,44,0.70170580310101,5.10699706019362
SWE,0.00792655001717153,48,1,2.41287870562156
IRL,0.00213727455121797,49,1,3.76078404825838
GEO,-0.000866470736311551,67,1,6.03250555292136
NZL,-0.0707627582034995,107,1,4.45982282839219
GBR,-0.133331763088446,143,1,4.11104761826456
PRT,-0.149673864470181,150,1,3.45661544346648
ROU,-0.177980351325948,164,0.761364619882975,2.95628176617142
HRV,-0.204505455713499,171,0.70170580310101,2.76982442478661
SGP,-0.21577531992923,178,1,23.7882343392958
USA,-0.405487616977006,199,1,6.37318842119128
CHE,-0.413953893243831,200,1,3.72839395701907
