spec,year,interaction,coef,se,pvalue,n_obs,converged,time_s
PB: Panel Baseline,panel,derisked:pci_std,-0.13464209506617836,0.06639964495549625,0.04258543910636958,2818590.0,True,175.63683485984802
PE: Panel AMLD,panel,eu_post2017:pci_std,0.14138258892351302,0.06885609023713579,0.040042957603362295,2818590.0,True,141.59722185134888
PF: Panel FATF,panel,fatf_grey:pci_std,-0.10758797748003901,0.06494026565712785,0.0975756597490327,2818590.0,True,130.92360186576843
PH: Panel Triple,panel,eu_post2017:pci_std,0.12850605261843415,0.06555534499716828,0.04996446064804094,2818590.0,True,199.31343626976013
PH: Panel Triple,panel,fatf_grey:pci_std,-0.07565093831937456,0.05460386253619478,0.16591481626696902,2818590.0,True,199.31343626976013
PH: Panel Triple,panel,derisked:pci_std,-0.10998813429367027,0.06184218823794756,0.07531698925747166,2818590.0,True,199.31343626976013
PK: Panel Kitchen Sink,panel,eu_post2017:pci_std,0.023296052968890292,0.05859969218986619,0.6909651271370374,1365444.0,True,100.35325026512146
PK: Panel Kitchen Sink,panel,fatf_grey:pci_std,-0.2900599929248159,0.1754242020382783,0.09823369620001454,1365444.0,True,100.35325026512146
PK: Panel Kitchen Sink,panel,derisked:pci_std,-0.04839890103603178,0.06794682307122733,0.4762755710847877,1365444.0,True,100.35325026512146
PK: Panel Kitchen Sink,panel,diplo_disagreement:pci_std,-0.01578773755627011,0.03852677749645768,0.6819628700853486,1365444.0,True,100.35325026512146
