spec,year,interaction,coef,se,pvalue,n_obs,converged,time_s
B0: Baseline,2018,derisked:pci_std,-0.26814705095721036,0.047465806680074274,1.6113271827933318e-08,3191770.0,True,89.61042284965515
E1: AMLD (primary),2018,eu_post2017:pci_std,0.10825594852466074,0.026020501163853047,3.176770385127092e-05,3191770.0,True,53.45518755912781
E2: AMLD + FDI,2018,eu_post2017:pci_std,0.11079890741564935,0.025855955141351077,1.825441086356072e-05,3191770.0,True,64.54469633102417
E2: AMLD + FDI,2018,derisked:pci_std,-0.2773201342692209,0.047143505920253986,4.041950996125365e-09,3191770.0,True,64.54469633102417
F1: FATF,2018,fatf_grey:pci_std,-0.35350811840323204,0.054688506684909724,1.0195111421751335e-10,3191770.0,True,60.82926392555237
F2: FATF + FDI,2018,fatf_grey:pci_std,-0.34191141713784634,0.0547557157508552,4.2568726321690065e-10,3191770.0,True,67.70695734024048
F2: FATF + FDI,2018,derisked:pci_std,-0.25115721074593506,0.0477211860186611,1.4171374207450071e-07,3191770.0,True,67.70695734024048
H1: Triple,2018,eu_post2017:pci_std,0.10381330803952259,0.025883408229190816,6.0512025394476865e-05,3191770.0,True,70.61272716522217
H1: Triple,2018,fatf_grey:pci_std,-0.32350658993777726,0.055543285788073216,5.731643826223376e-09,3191770.0,True,70.61272716522217
H1: Triple,2018,derisked:pci_std,-0.2619345619389927,0.047271506603883025,3.0063500355836936e-08,3191770.0,True,70.61272716522217
H2: Kitchen sink,2018,eu_post2017:pci_std,0.1361738662747448,0.028039591838175965,1.1948763247726646e-06,2518072.0,True,62.866851568222046
H2: Kitchen sink,2018,fatf_grey:pci_std,-0.3391892029299363,0.06927550576532805,9.76898968829687e-07,2518072.0,True,62.866851568222046
H2: Kitchen sink,2018,derisked:pci_std,-0.24187047131231754,0.05239646676762307,3.909057111561864e-06,2518072.0,True,62.866851568222046
H2: Kitchen sink,2018,diplo_disagreement:pci_std,0.06152526495836103,0.018605006137211798,0.0009432786171310603,2518072.0,True,62.866851568222046
H3: AMLD + confounders,2018,eu_post2017:pci_std,0.13981737660309054,0.02826499900655229,7.549717291333025e-07,2518072.0,True,45.13306427001953
H3: AMLD + confounders,2018,diplo_disagreement:pci_std,0.061165862095702635,0.01903664768604636,0.0013132955062820084,2518072.0,True,45.13306427001953
B0: Baseline,2019,derisked:pci_std,-0.2092979901615629,0.0361516393714576,7.061865092694575e-09,3191770.0,True,49.4872670173645
E1: AMLD (primary),2019,eu_post2017:pci_std,0.10964406848908395,0.02583172601088424,2.1903192710670538e-05,3191770.0,True,64.34583020210266
E2: AMLD + FDI,2019,eu_post2017:pci_std,0.11140772600603854,0.025701114467729807,1.4593050958300324e-05,3191770.0,True,72.29354929924011
E2: AMLD + FDI,2019,derisked:pci_std,-0.21762170753411764,0.03564834584545613,1.0300751362990468e-09,3191770.0,True,72.29354929924011
F1: FATF,2019,fatf_grey:pci_std,-0.2502355715596745,0.028968786296299433,0.0,3191770.0,True,53.245723247528076
